Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 133.0.6943.127,,,22-02-2025 22:25:49,22-02-2025 22:25:52,3.314s,PASSED
"navigateToUrl(""https://sandbox.moodledemo.net/"")",Chrome 133.0.6943.127,,,22-02-2025 22:25:52,22-02-2025 22:26:00,8.072s,PASSED
"click(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Home  Sandbox 4.5/a_Log in""))",Chrome 133.0.6943.127,,,22-02-2025 22:26:00,22-02-2025 22:26:02,1.138s,PASSED
"setText(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Log in to the site  Sandbox 4.5/input_Username_username""), username)",Chrome 133.0.6943.127,,,22-02-2025 22:26:02,22-02-2025 22:26:04,1.961s,PASSED
"setText(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Log in to the site  Sandbox 4.5/input_Password_password""), password)",Chrome 133.0.6943.127,,,22-02-2025 22:26:04,22-02-2025 22:26:05,1.103s,PASSED
"click(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Log in to the site  Sandbox 4.5/button_Log in""))",Chrome 133.0.6943.127,,,22-02-2025 22:26:05,22-02-2025 22:26:06,1.646s,PASSED
"verifyElementText(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Home  Sandbox 4.5/span_AU""), expectedResult)",Chrome 133.0.6943.127,,,22-02-2025 22:26:06,22-02-2025 22:26:08,1.505s,PASSED
"click(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Home  Sandbox 4.5/a_AU""))",Chrome 133.0.6943.127,,,22-02-2025 22:26:08,22-02-2025 22:26:08,0.583s,PASSED
"click(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Home  Sandbox 4.5/a_Log out""))",Chrome 133.0.6943.127,,,22-02-2025 22:26:08,22-02-2025 22:26:44,35.270s,PASSED
closeBrowser(),Chrome 133.0.6943.127,,,22-02-2025 22:26:44,22-02-2025 22:26:45,0.998s,PASSED
Start listener action : sampleAfterTestCase,Chrome 133.0.6943.127,,,22-02-2025 22:26:45,22-02-2025 22:26:45,0.002s,PASSED
,,,,,,,
Test Cases/CheckpointswithDDT,Chrome 133.0.6943.127,,,22-02-2025 22:26:45,22-02-2025 22:27:35,50.529s,PASSED
"DATA BINDING - {""password"":""sandbox24"",""expectedResult"":""SS"",""username"":""student""}",,,,,,,
Start listener action : sampleBeforeTestCase,Chrome 133.0.6943.127,,,22-02-2025 22:26:45,22-02-2025 22:26:45,0.007s,PASSED
"openBrowser("""")",Chrome 133.0.6943.127,,,22-02-2025 22:26:45,22-02-2025 22:26:48,3.490s,PASSED
"navigateToUrl(""https://sandbox.moodledemo.net/"")",Chrome 133.0.6943.127,,,22-02-2025 22:26:48,22-02-2025 22:26:53,4.541s,PASSED
"click(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Home  Sandbox 4.5/a_Log in""))",Chrome 133.0.6943.127,,,22-02-2025 22:26:53,22-02-2025 22:26:55,1.931s,PASSED
"setText(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Log in to the site  Sandbox 4.5/input_Username_username""), username)",Chrome 133.0.6943.127,,,22-02-2025 22:26:55,22-02-2025 22:26:57,2.166s,PASSED
"setText(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Log in to the site  Sandbox 4.5/input_Password_password""), password)",Chrome 133.0.6943.127,,,22-02-2025 22:26:57,22-02-2025 22:26:58,0.792s,PASSED
"click(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Log in to the site  Sandbox 4.5/button_Log in""))",Chrome 133.0.6943.127,,,22-02-2025 22:26:58,22-02-2025 22:27:00,2.300s,PASSED
"verifyElementText(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Home  Sandbox 4.5/span_AU""), expectedResult)",Chrome 133.0.6943.127,,,22-02-2025 22:27:00,22-02-2025 22:27:02,1.588s,PASSED
"click(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Home  Sandbox 4.5/a_AU""))",Chrome 133.0.6943.127,,,22-02-2025 22:27:02,22-02-2025 22:27:02,0.564s,PASSED
"click(findTestObject(""Object Repository/Checkpointswithdatadriven/Page_Home  Sandbox 4.5/a_Log out""))",Chrome 133.0.6943.127,,,22-02-2025 22:27:02,22-02-2025 22:27:35,32.735s,PASSED
closeBrowser(),Chrome 133.0.6943.127,,,22-02-2025 22:27:35,22-02-2025 22:27:35,0.344s,PASSED
Start listener action : sampleAfterTestCase,Chrome 133.0.6943.127,,,22-02-2025 22:27:35,22-02-2025 22:27:35,0.002s,PASSED
